,id,type,subtype,price,Transaction Type,zip,KitchenType,constructionYear,Building condition,energy_heatingType,Energy Consumption Level,bedroom_count,Land surface,Attic Exists,Basement Exists,Garden surface,Outdoor terrace exists,Specificities SME office exists,Wellness Equipment Swimming Pool,Parking parking Space Count indoor,Parking SpaceCount outdoor,Condition is Newly Built,date
6674,9829360,apartment,apartment,395000,forsale,2140,hyperequipped,2021,asnew,gas,,3,,,,,true,,,,1,1,10/18/22
6675,9758065,apartment,penthouse,427000,forsale,9950,installed,2022,asnew,solar,,3,,,,,true,,,,,1,10/18/22
6676,9758059,apartment,penthouse,475000,forsale,9950,installed,2022,asnew,solar,,3,,,,,true,,,,,1,10/18/22
6677,9995359,apartment,apartment,496150,forsale,1410,usahyperequipped,2022,asnew,gas,,3,,,true,,true,,,,1,1,10/18/22
6678,9758087,apartment,penthouse,545000,forsale,9950,installed,2022,asnew,solar,,3,,,,,true,,,,,1,10/18/22
6679,9059585,apartment,apartment,3297000,forsale,1000,,2018,,gas,63,3,,,,,true,,,4,50,1,10/18/22
6680,10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
6681,9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
6682,10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
6683,10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
6684,10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
6685,10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
6686,9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
6687,10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
6688,10151742,apartmentgroup,apartmentgroup,112000-291000,forsale,1360,,,,,,,,,,,,,,,,1,10/18/22
6689,10152249,apartmentgroup,apartmentgroup,226000-287000,forsale,6792,,,,,,,,,,,,,,,,1,10/18/22
6690,10151936,apartmentgroup,apartmentgroup,262000-377000,forsale,2830,,,,,,,,,,,,,,,,1,10/18/22
6691,10152494,apartmentgroup,apartmentgroup,280000-635000,forsale,8450,,,,,,,,,,,,,,,,1,10/18/22
6692,10157968,apartment,apartment,180000,forsale,7000,,1980,good,gas,112,3,,,true,,,,,,2,,10/18/22
6693,10100374,apartment,duplex,449000,forsale,2000,usainstalled,1988,good,electric,,2,,,true,,,true,,1,,,10/18/22
6694,10118624,apartment,duplex,290000,forsale,2310,semiequipped,1994,good,electric,,3,,,,,true,,,,,,10/18/22
6695,10142794,apartment,apartment,379000,forsale,8370,,1990,,electric,187,2,,,,,true,,,,,,10/18/22
6696,10144507,apartment,apartment,425000,forsale,1030,,2021,,,,3,,,,,,,,,,,10/18/22
6697,10143008,apartment,apartment,550000,forsale,2600,,1977,asnew,gas,196,3,,,true,,true,,,1,1,,10/18/22
6698,10143010,apartment,apartment,595000,forsale,2018,,1938,asnew,,180,3,,,true,,true,,,1,1,,10/18/22
6699,10144262,apartment,apartment,675000,forsale,8300,,,asnew,gas,98,2,,,true,,,true,,,,,10/18/22
6700,10131512,apartment,duplex,260000,forsale,1390,usainstalled,1998,good,fueloil,308,2,,,,,,,,,1,,10/18/22
6701,10057961,apartment,apartment,690000,forsale,8300,installed,2020,asnew,,51,2,,,true,,true,,,1,,,10/18/22
6702,10146792,apartment,apartment,189000,forsale,5080,semiequipped,,torenovate,gas,420,2,,true,,531,,true,,,2,,10/18/22
